cicle;temperature;humidity;RSSI;date;hour
62;9;43;-85;22/03/2018;9:13:23
63;9;43;-85;22/03/2018;9:13:33

1;10;43;-85;22/03/2018;9:16:33
2;10;43;-85;22/03/2018;9:16:43
3;10;43;-85;22/03/2018;9:16:53
4;10;43;-85;22/03/2018;9:17:03
5;10;43;-85;22/03/2018;9:17:13
6;10;43;-85;22/03/2018;9:17:23
7;10;43;-85;22/03/2018;9:17:33
8;10;43;-85;22/03/2018;9:17:43
9;10;43;-85;22/03/2018;9:17:53
10;10;43;-85;22/03/2018;9:18:03
11;10;43;-86;22/03/2018;9:18:13
12;10;43;-86;22/03/2018;9:18:23
13;10;43;-86;22/03/2018;9:18:33
14;10;43;-86;22/03/2018;9:18:43
15;10;43;-86;22/03/2018;9:18:53
16;10;43;-86;22/03/2018;9:19:03
17;9;43;-86;22/03/2018;9:19:13
18;9;43;-86;22/03/2018;9:19:23
19;9;43;-86;22/03/2018;9:19:33
20;9;43;-86;22/03/2018;9:19:43
21;9;43;-86;22/03/2018;9:19:53
22;9;43;-86;22/03/2018;9:20:03
23;9;43;-86;22/03/2018;9:20:13
24;9;43;-86;22/03/2018;9:20:23
25;9;43;-87;22/03/2018;9:20:33
26;9;44;-86;22/03/2018;9:20:43
27;9;44;-86;22/03/2018;9:20:53
28;9;44;-86;22/03/2018;9:21:03
29;9;44;-86;22/03/2018;9:21:13
30;9;44;-86;22/03/2018;9:21:23
31;9;44;-86;22/03/2018;9:21:33
32;9;44;-86;22/03/2018;9:21:43
33;10;44;-86;22/03/2018;9:21:53
34;9;44;-85;22/03/2018;9:22:03
35;9;44;-85;22/03/2018;9:22:13
36;9;44;-85;22/03/2018;9:22:23
37;9;44;-85;22/03/2018;9:22:33
38;9;44;-85;22/03/2018;9:22:43
39;9;44;-85;22/03/2018;9:22:53
40;9;44;-85;22/03/2018;9:23:03
41;9;44;-85;22/03/2018;9:23:13
42;9;44;-85;22/03/2018;9:23:23
43;9;44;-86;22/03/2018;9:23:33
44;9;44;-86;22/03/2018;9:23:43
45;9;44;-86;22/03/2018;9:23:53
46;9;44;-87;22/03/2018;9:24:03
47;9;44;-87;22/03/2018;9:24:13
48;9;44;-87;22/03/2018;9:24:23
49;9;44;-86;22/03/2018;9:24:33
50;9;44;-86;22/03/2018;9:24:43
51;9;44;-86;22/03/2018;9:24:53
52;9;44;-86;22/03/2018;9:25:03
53;9;44;-86;22/03/2018;9:25:13
54;9;44;-85;22/03/2018;9:25:23
55;9;44;-85;22/03/2018;9:25:33
56;9;44;-85;22/03/2018;9:25:43
57;9;44;-85;22/03/2018;9:25:53
58;9;44;-85;22/03/2018;9:26:03
59;9;44;-85;22/03/2018;9:26:13
60;9;44;-84;22/03/2018;9:26:23
61;9;44;-84;22/03/2018;9:26:33
62;9;44;-84;22/03/2018;9:26:43
63;9;44;-84;22/03/2018;9:26:53
64;9;44;-84;22/03/2018;9:27:03
65;9;44;-84;22/03/2018;9:27:13
66;9;44;-84;22/03/2018;9:27:23
